Date,Open,High,Low,Close,Volume,Market Cap
06-Oct-17,295.16 ,308.84 ,294.95 ,308.59 ,318664000 ,28031100000 
07-Oct-17,308.89 ,313.13 ,304.98 ,311.12 ,342205000 ,29340400000 
08-Oct-17,311.06 ,312.54 ,308.03 ,308.61 ,293167000 ,29550900000 
09-Oct-17,308.67 ,309.31 ,288.19 ,297.39 ,559467000 ,29328300000 
10-Oct-17,297.60 ,306.15 ,293.17 ,299.87 ,359706000 ,28281400000 
11-Oct-17,301.18 ,304.39 ,299.10 ,303.46 ,264146000 ,28626300000 
12-Oct-17,303.50 ,309.15 ,303.29 ,304.14 ,527557000 ,28851200000 
13-Oct-17,304.08 ,348.60 ,299.66 ,338.76 ,1304360000 ,28911100000 
14-Oct-17,338.85 ,347.98 ,334.70 ,339.63 ,516562000 ,32222400000 
15-Oct-17,339.53 ,342.72 ,320.43 ,336.60 ,635407000 ,32292100000 
16-Oct-17,336.71 ,349.35 ,332.04 ,333.38 ,692885000 ,32029200000 
17-Oct-17,333.48 ,333.48 ,311.79 ,317.08 ,509924000 ,31727700000 
18-Oct-17,316.94 ,317.24 ,290.64 ,314.32 ,606114000 ,30160500000 
19-Oct-17,314.54 ,316.71 ,305.83 ,308.09 ,349830000 ,29937900000 
20-Oct-17,308.05 ,311.44 ,303.49 ,304.01 ,396673000 ,29326300000 
21-Oct-17,303.57 ,303.93 ,291.77 ,300.19 ,408014000 ,28906600000 
22-Oct-17,300.55 ,305.50 ,292.81 ,295.45 ,327387000 ,28624800000 
23-Oct-17,295.10 ,295.75 ,277.58 ,286.95 ,482336000 ,28111400000 
24-Oct-17,287.12 ,311.96 ,282.66 ,298.33 ,684281000 ,27357500000 
25-Oct-17,298.44 ,301.85 ,290.72 ,297.93 ,325040000 ,28442000000 
26-Oct-17,298.02 ,301.07 ,295.22 ,296.53 ,270273000 ,28408400000 
27-Oct-17,296.51 ,299.26 ,294.06 ,297.42 ,257169000 ,28270100000 
28-Oct-17,297.92 ,300.36 ,293.59 ,296.30 ,264424000 ,28410400000 
29-Oct-17,296.38 ,313.76 ,296.38 ,305.09 ,551752000 ,28270200000 
30-Oct-17,304.78 ,310.50 ,304.35 ,307.75 ,331442000 ,29077600000 
31-Oct-17,307.38 ,310.55 ,305.88 ,305.88 ,369583000 ,29331500000 
01-Nov-17,305.76 ,306.40 ,290.58 ,291.69 ,553864000 ,29183600000 
02-Nov-17,290.73 ,293.91 ,281.17 ,287.43 ,904901000 ,27754200000 
03-Nov-17,288.50 ,308.31 ,287.69 ,305.71 ,646340000 ,27547400000 
04-Nov-17,305.48 ,305.48 ,295.80 ,300.47 ,416479000 ,29175300000 
05-Nov-17,300.04 ,301.37 ,295.12 ,296.26 ,337658000 ,28661500000 
06-Nov-17,296.43 ,305.42 ,293.72 ,298.89 ,579359000 ,28322700000 
07-Nov-17,298.57 ,304.84 ,290.77 ,294.66 ,540766000 ,28533300000 
08-Nov-17,294.27 ,318.70 ,293.10 ,309.07 ,967956000 ,28128700000 
09-Nov-17,308.65 ,329.45 ,307.06 ,320.88 ,893250000 ,29509000000 
10-Nov-17,320.67 ,324.72 ,294.54 ,299.25 ,885986000 ,30665200000 
11-Nov-17,298.59 ,319.45 ,298.19 ,314.68 ,842301000 ,28559400000 
12-Nov-17,314.69 ,319.15 ,298.51 ,307.91 ,1613480000 ,30106200000 
13-Nov-17,307.03 ,328.42 ,307.03 ,316.72 ,1041890000 ,29379000000 
14-Nov-17,316.76 ,340.18 ,316.76 ,337.63 ,1069680000 ,30317300000 
15-Nov-17,337.96 ,340.91 ,329.81 ,333.36 ,722666000 ,32353200000 
16-Nov-17,333.44 ,336.16 ,323.61 ,330.92 ,797254000 ,31927300000 
17-Nov-17,330.17 ,334.96 ,327.52 ,332.39 ,621733000 ,31620300000 
18-Nov-17,331.98 ,349.62 ,327.69 ,347.61 ,649639000 ,31800700000 
19-Nov-17,347.40 ,371.29 ,344.74 ,354.39 ,1181530000 ,33284900000 
20-Nov-17,354.09 ,372.14 ,353.29 ,366.73 ,807027000 ,33933400000 
21-Nov-17,367.44 ,372.47 ,350.69 ,360.40 ,949912000 ,35220200000 
22-Nov-17,360.31 ,381.42 ,360.15 ,380.65 ,800819000 ,34544000000 
23-Nov-17,381.44 ,425.55 ,376.09 ,410.17 ,1845680000 ,36577300000 
24-Nov-17,412.50 ,480.97 ,402.76 ,474.91 ,2292830000 ,39564300000 
25-Nov-17,475.68 ,485.19 ,461.05 ,466.28 ,1422080000 ,45633400000 
26-Nov-17,465.97 ,472.72 ,451.61 ,471.33 ,1197780000 ,44712100000 
27-Nov-17,471.53 ,493.41 ,468.49 ,480.36 ,1396480000 ,45255000000 
28-Nov-17,480.52 ,482.48 ,466.35 ,472.90 ,1346500000 ,46127200000 
29-Nov-17,473.28 ,522.31 ,425.07 ,427.52 ,2675940000 ,45442100000 
30-Nov-17,431.22 ,465.50 ,401.24 ,447.11 ,1903040000 ,41411900000 
01-Dec-17,445.21 ,472.61 ,428.31 ,466.54 ,1247880000 ,42765000000 
02-Dec-17,466.85 ,476.24 ,456.65 ,463.45 ,943650000 ,44853300000 
03-Dec-17,463.71 ,482.81 ,451.85 ,465.85 ,990557000 ,44560500000 
04-Dec-17,466.05 ,474.78 ,453.31 ,470.20 ,1005550000 ,44795700000 
05-Dec-17,470.29 ,473.56 ,457.66 ,463.28 ,1216720000 ,45212800000 
06-Dec-17,462.60 ,462.71 ,420.21 ,428.59 ,1998260000 ,44483100000 
07-Dec-17,426.37 ,441.40 ,414.41 ,434.41 ,2129570000 ,41007600000 
08-Dec-17,434.99 ,466.06 ,422.37 ,456.03 ,2336380000 ,41845800000 
09-Dec-17,457.34 ,504.15 ,456.25 ,473.50 ,2003850000 ,44005600000 
10-Dec-17,472.79 ,472.79 ,429.51 ,441.72 ,1404180000 ,45501400000 
11-Dec-17,440.36 ,516.97 ,439.10 ,515.14 ,1771440000 ,42389300000 
12-Dec-17,522.29 ,657.32 ,504.49 ,651.43 ,5179830000 ,50286400000 
13-Dec-17,644.91 ,747.99 ,597.80 ,702.77 ,4524540000 ,62105600000 
14-Dec-17,700.59 ,753.12 ,664.99 ,695.82 ,3821580000 ,67482900000 
